Date,Hour,Load
26-01-2018,6,2012.340
26-01-2018,7,2437.870
26-01-2018,8,3082.260
26-01-2018,9,3373.910
26-01-2018,10,3541.830
26-01-2018,11,3445.040
26-01-2018,12,3376.140
26-01-2018,13,3070.680
26-01-2018,14,2572.010
26-01-2018,15,2246.090
26-01-2018,16,2086.900
26-01-2018,17,2108.470
26-01-2018,18,2454.740
26-01-2018,19,2650.080
26-01-2018,20,2637.900
26-01-2018,21,2572.570
26-01-2018,22,2386.340
26-01-2018,23,2016.200
27-01-2018,0,1666.450
27-01-2018,1,1465.710
27-01-2018,2,1373.190
27-01-2018,3,1324.520
27-01-2018,4,1337.020
27-01-2018,5,1482.520
27-01-2018,6,1962.000
27-01-2018,7,2629.330
27-01-2018,8,3298.220
27-01-2018,9,3531.970
27-01-2018,10,3887.030
27-01-2018,11,3862.690
27-01-2018,12,3624.840
27-01-2018,13,3223.880
27-01-2018,14,2962.880
27-01-2018,15,2833.860
27-01-2018,16,2754.390
27-01-2018,17,2843.550
27-01-2018,18,3146.390
27-01-2018,19,3264.050
27-01-2018,20,3170.250
27-01-2018,21,2894.550
27-01-2018,22,2660.380
27-01-2018,23,2273.430
28-01-2018,0,1904.170
28-01-2018,1,1667.270
28-01-2018,2,1545.670
28-01-2018,3,1480.740
28-01-2018,4,1499.430
28-01-2018,5,1598.120
28-01-2018,6,1919.720
28-01-2018,7,2429.000
28-01-2018,8,3159.030
28-01-2018,9,3552.140
28-01-2018,10,3935.200
28-01-2018,11,3984.680
28-01-2018,12,3808.770
28-01-2018,13,3378.930
28-01-2018,14,3012.250
28-01-2018,15,2780.160
28-01-2018,16,2627.080
28-01-2018,17,2672.290
28-01-2018,18,2935.380
28-01-2018,19,3145.070
28-01-2018,20,3056.250
28-01-2018,21,2805.850
28-01-2018,22,2633.700
28-01-2018,23,2230.520
29-01-2018,0,1867.950
29-01-2018,1,1620.900
29-01-2018,2,1522.310
29-01-2018,3,1479.500
29-01-2018,4,1493.770
29-01-2018,5,1676.730
29-01-2018,6,2389.320
29-01-2018,7,3268.710
29-01-2018,8,3684.150
29-01-2018,9,3778.720
29-01-2018,10,4029.890
29-01-2018,11,3907.420
29-01-2018,12,3651.840
29-01-2018,13,3357.240
29-01-2018,14,3140.620
29-01-2018,15,3094.210
29-01-2018,16,2958.390
29-01-2018,17,2904.910
29-01-2018,18,3152.570
29-01-2018,19,3303.570
29-01-2018,20,3233.960
29-01-2018,21,3014.980
29-01-2018,22,2692.610
29-01-2018,23,2306.280
30-01-2018,0,1940.070
30-01-2018,1,1708.300
30-01-2018,2,1609.330
30-01-2018,3,1553.540
30-01-2018,4,1570.820
30-01-2018,5,1739.230
30-01-2018,6,2418.270
30-01-2018,7,3266.140
30-01-2018,8,3683.590
30-01-2018,9,3723.950
30-01-2018,10,3810.760
30-01-2018,11,3666.780
30-01-2018,12,3548.030
30-01-2018,13,3205.390
30-01-2018,14,2981.910
30-01-2018,15,2932.690
30-01-2018,16,2871.650
30-01-2018,17,2950.500
30-01-2018,18,3215.520
30-01-2018,19,3362.280
30-01-2018,20,3216.510
30-01-2018,21,2902.390
30-01-2018,22,2647.060
30-01-2018,23,2249.840
31-01-2018,0,1861.460
31-01-2018,1,1647.780
31-01-2018,2,1536.490
31-01-2018,3,1482.900
31-01-2018,4,1491.170
31-01-2018,5,1682.130
31-01-2018,6,2388.340
31-01-2018,7,3302.320
31-01-2018,8,3703.060
31-01-2018,9,3766.660
31-01-2018,10,3967.900
31-01-2018,11,3876.250
31-01-2018,12,3639.140
31-01-2018,13,3289.530
31-01-2018,14,3015.390
31-01-2018,15,2869.770
31-01-2018,16,2906.670
31-01-2018,17,2925.310
31-01-2018,18,3123.060
31-01-2018,19,3245.980
31-01-2018,20,3145.240
31-01-2018,21,3100.450
31-01-2018,22,2709.800
31-01-2018,23,2253.240
01-02-2018,0,1883.280
01-02-2018,1,1664.910
01-02-2018,2,1572.500
01-02-2018,3,1474.990
01-02-2018,4,1486.030
01-02-2018,5,1651.290
01-02-2018,6,2374.220
01-02-2018,7,3199.640
01-02-2018,8,3652.640
01-02-2018,9,3616.110
01-02-2018,10,3706.960
01-02-2018,11,3592.440
01-02-2018,12,3417.880
01-02-2018,13,3101.410
01-02-2018,14,2926.950
01-02-2018,15,2946.580
01-02-2018,16,2873.480
01-02-2018,17,2911.130
01-02-2018,18,3122.480
01-02-2018,19,3337.490
01-02-2018,20,3173.660
01-02-2018,21,2787.180
01-02-2018,22,2566.850
01-02-2018,23,2207.580
02-02-2018,0,1853.950
02-02-2018,1,1619.730
02-02-2018,2,1525.350
02-02-2018,3,1458.050
02-02-2018,4,1482.140
02-02-2018,5,1671.200
02-02-2018,6,2404.060
02-02-2018,7,3252.770
02-02-2018,8,3574.730
02-02-2018,9,3666.080
02-02-2018,10,3877.640
02-02-2018,11,3707.240
02-02-2018,12,3479.030
02-02-2018,13,3157.340
02-02-2018,14,2901.740
02-02-2018,15,2896.540
02-02-2018,16,2791.700
02-02-2018,17,2855.630
02-02-2018,18,3043.000
02-02-2018,19,3216.560
02-02-2018,20,3043.730
02-02-2018,21,2717.390
02-02-2018,22,2490.170
02-02-2018,23,2130.510
03-02-2018,0,1814.430
03-02-2018,1,1559.310
03-02-2018,2,1515.270
03-02-2018,3,1463.970
03-02-2018,4,1467.690
03-02-2018,5,1625.010
03-02-2018,6,2174.580
03-02-2018,7,2892.980
03-02-2018,8,3363.900
03-02-2018,9,3394.180
03-02-2018,10,3591.910
03-02-2018,11,3467.770
03-02-2018,12,3273.520
03-02-2018,13,2982.620
03-02-2018,14,2717.930
03-02-2018,15,2712.240
03-02-2018,16,2639.220
03-02-2018,17,2654.170
03-02-2018,18,2888.450
03-02-2018,19,3104.000
03-02-2018,20,2932.510
03-02-2018,21,2658.570
03-02-2018,22,2437.610
03-02-2018,23,2114.390
04-02-2018,0,1792.490
04-02-2018,1,1566.790
04-02-2018,2,1473.620
04-02-2018,3,1404.360
04-02-2018,4,1426.530
04-02-2018,5,1533.700
04-02-2018,6,1888.060
04-02-2018,7,2415.770
04-02-2018,8,3097.590
04-02-2018,9,3346.730
04-02-2018,10,3681.840
04-02-2018,11,3660.350
04-02-2018,12,3488.360
04-02-2018,13,3161.980
04-02-2018,14,2826.290
04-02-2018,15,2662.780
04-02-2018,16,2547.990
04-02-2018,17,2533.130
04-02-2018,18,2753.850
04-02-2018,19,2980.610
04-02-2018,20,2874.590
04-02-2018,21,2615.860
04-02-2018,22,2398.570
04-02-2018,23,2039.540
05-02-2018,0,1751.080
05-02-2018,1,1549.880
05-02-2018,2,1438.910
05-02-2018,3,1395.660
05-02-2018,4,1410.110
05-02-2018,5,1587.100
05-02-2018,6,2333.240
05-02-2018,7,3180.950
05-02-2018,8,3425.620
05-02-2018,9,3472.310
05-02-2018,10,3718.340
05-02-2018,11,3595.720
05-02-2018,12,3418.130
05-02-2018,13,3152.180
05-02-2018,14,2993.000
05-02-2018,15,3025.920
05-02-2018,16,2919.010
05-02-2018,17,2894.230
05-02-2018,18,3122.970
05-02-2018,19,3241.620
05-02-2018,20,3048.340
05-02-2018,21,2746.810
05-02-2018,22,2554.670
05-02-2018,23,2189.850
06-02-2018,0,1838.440
06-02-2018,1,1637.460
06-02-2018,2,1532.130
06-02-2018,3,1470.920
06-02-2018,4,1476.650
06-02-2018,5,1650.680
06-02-2018,6,2345.810
06-02-2018,7,3204.420
06-02-2018,8,3446.140
06-02-2018,9,3495.790
06-02-2018,10,3741.670
06-02-2018,11,3584.660
06-02-2018,12,3424.510
06-02-2018,13,3150.360
06-02-2018,14,2923.690
06-02-2018,15,2898.860
06-02-2018,16,2886.760
06-02-2018,17,2881.040
06-02-2018,18,3145.240
06-02-2018,19,3172.210
06-02-2018,20,3036.560
06-02-2018,21,2798.950
06-02-2018,22,2495.950
06-02-2018,23,2149.480
07-02-2018,0,1821.460
07-02-2018,1,1635.950
07-02-2018,2,1537.760
07-02-2018,3,1497.910
07-02-2018,4,1503.890
07-02-2018,5,1668.980
07-02-2018,6,2339.730
07-02-2018,7,3104.240
07-02-2018,8,3590.060
07-02-2018,9,3602.030
07-02-2018,10,3792.640
07-02-2018,11,3725.080
07-02-2018,12,3529.410
07-02-2018,13,3203.030
07-02-2018,14,2995.010
07-02-2018,15,2977.370
07-02-2018,16,2895.980
07-02-2018,17,2940.210
07-02-2018,18,3147.330
07-02-2018,19,3279.890
07-02-2018,20,3159.190
07-02-2018,21,2873.690
07-02-2018,22,2611.760
07-02-2018,23,2297.300
08-02-2018,0,1970.970
08-02-2018,1,1770.730
08-02-2018,2,1669.290
08-02-2018,3,1615.200
08-02-2018,4,1627.070
08-02-2018,5,1787.550
08-02-2018,6,2443.670
08-02-2018,7,3219.960
08-02-2018,8,3495.710
08-02-2018,9,3498.900
08-02-2018,10,3706.790
08-02-2018,11,3580.660
08-02-2018,12,3438.890
08-02-2018,13,3125.830
08-02-2018,14,2938.430
08-02-2018,15,2989.690
08-02-2018,16,2882.360
08-02-2018,17,2943.700
08-02-2018,18,3108.770
08-02-2018,19,3381.210
08-02-2018,20,3187.950
08-02-2018,21,2838.580
08-02-2018,22,2594.860
08-02-2018,23,2256.550
09-02-2018,0,1866.250
09-02-2018,1,1657.770
09-02-2018,2,1562.880
09-02-2018,3,1510.200
09-02-2018,4,1514.640
09-02-2018,5,1698.580
09-02-2018,6,2418.760
09-02-2018,7,3315.450
09-02-2018,8,3647.800
09-02-2018,9,3719.640
09-02-2018,10,3882.890
09-02-2018,11,3821.120
09-02-2018,12,3605.790
09-02-2018,13,3321.010
09-02-2018,14,3031.740
09-02-2018,15,2990.860
09-02-2018,16,2916.290
09-02-2018,17,2914.580
09-02-2018,18,3153.180
09-02-2018,19,3298.200
09-02-2018,20,3175.310
09-02-2018,21,2856.470
09-02-2018,22,2599.930
09-02-2018,23,2238.830
10-02-2018,0,1886.840
10-02-2018,1,1674.990
10-02-2018,2,1558.460
10-02-2018,3,1501.460
10-02-2018,4,1506.750
10-02-2018,5,1646.620
10-02-2018,6,2145.370
10-02-2018,7,2749.960
10-02-2018,8,3349.260
10-02-2018,9,3478.670
10-02-2018,10,3704.750
10-02-2018,11,3601.620
10-02-2018,12,3424.830
10-02-2018,13,3052.190
10-02-2018,14,2818.400
10-02-2018,15,2768.760
10-02-2018,16,2683.470
10-02-2018,17,2722.930
10-02-2018,18,2978.310
10-02-2018,19,3166.760
10-02-2018,20,3014.070
10-02-2018,21,2727.170
10-02-2018,22,2458.220
10-02-2018,23,2146.480
11-02-2018,0,1815.730
11-02-2018,1,1598.910
11-02-2018,2,1477.890
11-02-2018,3,1426.600
11-02-2018,4,1431.040
11-02-2018,5,1548.220
11-02-2018,6,1912.540
11-02-2018,7,2411.370
11-02-2018,8,3030.910
11-02-2018,9,3352.540
11-02-2018,10,3671.710
11-02-2018,11,3642.690
11-02-2018,12,3550.500
11-02-2018,13,2768.780
