Date,Avg,Peak
23-10-2019,3136.09,3889.30
24-10-2019,3180.39,3928.59
25-10-2019,3159.04,3829.66
26-10-2019,2902.37,3456.96
27-10-2019,2525.81,3065.18
28-10-2019,2503.83,2907.56
29-10-2019,2622.22,3128.61
30-10-2019,2830.62,3503.14
31-10-2019,2867.01,3532.82
01-11-2019,2872.16,3476.31
02-11-2019,2703.24,3435.72
03-11-2019,2569.25,3408.51
04-11-2019,2790.39,3525.98
05-11-2019,2782.18,3491.75
06-11-2019,2792.26,3559.46
07-11-2019,2740.67,3402.46
08-11-2019,2744.35,3430.79
09-11-2019,2571.70,3140.98
10-11-2019,2490.98,3090.68
11-11-2019,2635.71,3264.24
12-11-2019,2494.57,3244.30
13-11-2019,2580.81,3302.17
14-11-2019,2636.13,3458.54
15-11-2019,2689.19,3609.55
16-11-2019,2553.36,3248.67
17-11-2019,2439.65,3231.37
18-11-2019,2567.73,3328.27
19-11-2019,2618.40,3330.82
20-11-2019,2637.80,3398.03
21-11-2019,2636.46,3360.18
22-11-2019,2679.03,3512.02
23-11-2019,2519.56,3366.28
24-11-2019,2451.29,3339.07
25-11-2019,2600.38,3372.79
26-11-2019,2638.10,3379.23
27-11-2019,2640.91,3457.23
28-11-2019,2590.23,3420.71
29-11-2019,2654.90,3537.49
30-11-2019,2505.17,3358.22
01-12-2019,2377.27,3258.00
02-12-2019,2552.41,3462.09
03-12-2019,2594.54,3507.28
04-12-2019,2642.48,3595.14
05-12-2019,2643.21,3552.00
06-12-2019,2721.14,3783.62
07-12-2019,2594.74,3499.01
08-12-2019,2462.47,3573.74
09-12-2019,2603.41,3537.21
10-12-2019,2648.69,3637.76
11-12-2019,2716.94,3744.15
12-12-2019,2683.71,3709.59
13-12-2019,2780.26,3960.75
14-12-2019,2657.66,3836.73
15-12-2019,2579.43,3859.78
16-12-2019,2795.46,3916.24
17-12-2019,2914.79,4032.83
18-12-2019,2963.92,4244.96
19-12-2019,3044.05,4216.08
20-12-2019,3128.56,4549.48
21-12-2019,2932.32,4165.30
22-12-2019,2902.13,4316.08
23-12-2019,3142.96,4486.09
24-12-2019,3179.43,4604.34
25-12-2019,3180.91,4739.59
26-12-2019,3316.09,4919.90
27-12-2019,3412.94,4887.93
28-12-2019,3318.85,4675.49
29-12-2019,3258.39,4782.64
30-12-2019,3578.36,5041.07
31-12-2019,3564.70,5179.96
processed-avg,NaN,0.00
processed-by-30-min,NaN,0.00
processed,NaN,0.00
