Date,Hour,Min,Load
14-01-2018,22,0,2558.790
14-01-2018,22,30,2443.570
14-01-2018,23,0,2314.800
14-01-2018,23,30,2194.570
15-01-2018,0,0,1887.400
15-01-2018,0,30,1731.840
15-01-2018,1,0,1644.690
15-01-2018,1,30,1588.670
15-01-2018,2,0,1562.340
15-01-2018,2,30,1542.950
15-01-2018,3,0,1524.470
15-01-2018,3,30,1517.220
15-01-2018,4,0,1517.010
15-01-2018,4,30,1561.690
15-01-2018,5,0,1646.720
15-01-2018,5,30,1872.110
15-01-2018,6,0,2191.160
15-01-2018,6,30,2617.920
15-01-2018,7,0,2906.110
15-01-2018,7,30,3102.330
15-01-2018,8,0,3190.560
15-01-2018,8,30,3478.900
15-01-2018,9,0,3743.460
15-01-2018,9,30,3744.040
15-01-2018,10,0,3969.750
15-01-2018,10,30,3953.630
15-01-2018,11,0,3858.320
15-01-2018,11,30,3758.170
15-01-2018,12,0,3560.670
15-01-2018,12,30,3480.280
15-01-2018,13,0,3377.660
15-01-2018,13,30,3070.060
15-01-2018,14,0,3007.290
15-01-2018,14,30,2993.450
15-01-2018,15,0,2985.440
15-01-2018,15,30,2914.320
15-01-2018,16,0,2889.160
15-01-2018,16,30,2914.820
15-01-2018,17,0,2923.210
15-01-2018,17,30,3018.590
15-01-2018,18,0,3192.230
15-01-2018,18,30,3309.950
15-01-2018,19,0,3235.680
15-01-2018,19,30,3217.060
15-01-2018,20,0,3178.680
15-01-2018,20,30,3101.510
15-01-2018,21,0,2883.150
15-01-2018,21,30,2784.420
15-01-2018,22,0,2646.540
15-01-2018,22,30,2469.940
15-01-2018,23,0,2239.730
15-01-2018,23,30,2039.100
16-01-2018,0,0,1855.270
16-01-2018,0,30,1719.030
16-01-2018,1,0,1638.470
16-01-2018,1,30,1574.390
16-01-2018,2,0,1530.780
16-01-2018,2,30,1505.430
16-01-2018,3,0,1482.870
16-01-2018,3,30,1466.190
16-01-2018,4,0,1505.920
16-01-2018,4,30,1561.720
16-01-2018,5,0,1708.610
16-01-2018,5,30,2020.420
16-01-2018,6,0,2459.720
16-01-2018,6,30,3007.880
16-01-2018,7,0,3394.840
16-01-2018,7,30,3632.830
16-01-2018,8,0,3756.820
16-01-2018,8,30,3798.930
