Date,Hour,Min,Load
14-01-2018,4,30,1459.55
14-01-2018,5,0,1529.25
14-01-2018,5,30,1693.81
14-01-2018,6,0,1907.34
14-01-2018,6,30,2203.65
14-01-2018,7,0,2488.60
14-01-2018,7,30,2871.70
14-01-2018,8,0,3239.42
14-01-2018,8,30,3449.55
14-01-2018,9,0,3526.65
14-01-2018,9,30,3835.76
14-01-2018,10,0,3931.96
14-01-2018,10,30,3942.31
14-01-2018,11,0,3861.13
14-01-2018,11,30,3726.41
14-01-2018,12,0,3619.44
14-01-2018,12,30,3417.44
14-01-2018,13,0,3178.13
14-01-2018,13,30,2872.81
14-01-2018,14,0,2812.89
14-01-2018,14,30,2741.65
14-01-2018,15,0,2687.58
14-01-2018,15,30,2620.41
14-01-2018,16,0,2608.35
14-01-2018,16,30,2626.76
14-01-2018,17,0,2684.20
14-01-2018,17,30,2787.45
14-01-2018,18,0,2961.08
14-01-2018,18,30,3084.51
14-01-2018,19,0,3054.86
14-01-2018,19,30,3022.76
14-01-2018,20,0,2985.00
14-01-2018,20,30,2958.80
14-01-2018,21,0,2702.28
14-01-2018,21,30,2640.62
14-01-2018,22,0,2558.79
14-01-2018,22,30,2443.57
14-01-2018,23,0,2314.80
14-01-2018,23,30,2194.57
15-01-2018,0,0,1887.40
15-01-2018,0,30,1731.84
15-01-2018,1,0,1644.69
15-01-2018,1,30,1588.67
15-01-2018,2,0,1562.34
15-01-2018,2,30,1542.95
15-01-2018,3,0,1524.47
15-01-2018,3,30,1517.22
15-01-2018,4,0,1517.01
15-01-2018,4,30,1561.69
15-01-2018,5,0,1646.72
15-01-2018,5,30,1872.11
15-01-2018,6,0,2191.16
15-01-2018,6,30,2617.92
15-01-2018,7,0,2906.11
15-01-2018,7,30,3102.33
15-01-2018,8,0,3190.56
15-01-2018,8,30,3478.90
15-01-2018,9,0,3743.46
15-01-2018,9,30,3744.04
15-01-2018,10,0,3969.75
15-01-2018,10,30,3953.63
15-01-2018,11,0,3858.32
15-01-2018,11,30,3758.17
15-01-2018,12,0,3560.67
15-01-2018,12,30,3480.28
15-01-2018,13,0,3377.66
15-01-2018,13,30,3070.06
15-01-2018,14,0,3007.29
15-01-2018,14,30,2993.45
15-01-2018,15,0,2985.44
15-01-2018,15,30,2914.32
15-01-2018,16,0,2889.16
15-01-2018,16,30,2914.82
15-01-2018,17,0,2923.21
15-01-2018,17,30,3018.59
15-01-2018,18,0,3192.23
15-01-2018,18,30,3309.95
15-01-2018,19,0,3235.68
15-01-2018,19,30,3217.06
15-01-2018,20,0,3178.68
15-01-2018,20,30,3101.51
15-01-2018,21,0,2883.15
15-01-2018,21,30,2784.42
15-01-2018,22,0,2646.54
15-01-2018,22,30,2469.94
15-01-2018,23,0,2239.73
15-01-2018,23,30,2039.10
16-01-2018,0,0,1855.27
16-01-2018,0,30,1719.03
16-01-2018,1,0,1638.47
16-01-2018,1,30,1574.39
16-01-2018,2,0,1530.78
16-01-2018,2,30,1505.43
16-01-2018,3,0,1482.87
16-01-2018,3,30,1466.19
16-01-2018,4,0,1505.92
16-01-2018,4,30,1561.72
16-01-2018,5,0,1708.61
16-01-2018,5,30,2020.42
16-01-2018,6,0,2459.72
16-01-2018,6,30,3007.88
16-01-2018,7,0,3394.84
16-01-2018,7,30,3632.83
16-01-2018,8,0,3756.82
16-01-2018,8,30,3798.93
16-01-2018,9,0,3738.57
16-01-2018,9,30,3874.94
16-01-2018,10,0,3838.55
16-01-2018,10,30,3837.20
16-01-2018,11,0,3729.30
16-01-2018,11,30,3647.67
16-01-2018,12,0,3484.43
16-01-2018,12,30,3326.37
16-01-2018,13,0,3184.11
16-01-2018,13,30,2898.35
16-01-2018,14,0,2950.15
16-01-2018,14,30,2934.94
16-01-2018,15,0,2953.41
16-01-2018,15,30,2929.03
16-01-2018,16,0,2880.51
16-01-2018,16,30,2897.99
16-01-2018,17,0,2948.04
16-01-2018,17,30,3022.47
16-01-2018,18,0,3255.59
16-01-2018,18,30,3360.29
16-01-2018,19,0,3356.90
16-01-2018,19,30,3319.41
16-01-2018,20,0,3191.66
16-01-2018,20,30,3120.54
16-01-2018,21,0,2903.65
16-01-2018,21,30,2845.89
16-01-2018,22,0,2699.81
16-01-2018,22,30,2494.36
16-01-2018,23,0,2284.49
16-01-2018,23,30,2069.66
17-01-2018,0,0,1905.25
17-01-2018,0,30,1777.03
17-01-2018,1,0,1693.75
17-01-2018,1,30,1628.01
17-01-2018,2,0,1603.82
17-01-2018,2,30,1583.03
17-01-2018,3,0,1558.76
17-01-2018,3,30,1562.11
17-01-2018,4,0,1583.64
17-01-2018,4,30,1660.82
17-01-2018,5,0,1798.54
17-01-2018,5,30,2054.18
17-01-2018,6,0,2533.46
17-01-2018,6,30,3114.10
17-01-2018,7,0,3433.33
17-01-2018,7,30,3677.45
17-01-2018,8,0,3783.83
17-01-2018,8,30,3841.96
17-01-2018,9,0,3795.45
17-01-2018,9,30,3942.46
17-01-2018,10,0,4001.68
17-01-2018,10,30,3994.67
17-01-2018,11,0,3902.75
17-01-2018,11,30,3785.60
17-01-2018,12,0,3690.15
17-01-2018,12,30,3539.94
17-01-2018,13,0,3291.94
17-01-2018,13,30,2996.97
17-01-2018,14,0,3074.78
17-01-2018,14,30,3066.70
17-01-2018,15,0,3060.21
17-01-2018,15,30,3005.12
17-01-2018,16,0,2971.80
17-01-2018,16,30,2972.40
17-01-2018,17,0,3009.37
17-01-2018,17,30,3084.54
17-01-2018,18,0,3291.81
17-01-2018,18,30,3443.61
17-01-2018,19,0,3412.33
17-01-2018,19,30,3375.72
17-01-2018,20,0,3278.52
17-01-2018,20,30,3136.39
17-01-2018,21,0,2953.49
17-01-2018,21,30,2835.71
17-01-2018,22,0,2692.87
17-01-2018,22,30,2489.96
17-01-2018,23,0,2281.14
17-01-2018,23,30,2063.23
18-01-2018,0,0,1890.92
18-01-2018,0,30,1768.48
18-01-2018,1,0,1669.81
18-01-2018,1,30,1609.84
18-01-2018,2,0,1570.68
18-01-2018,2,30,1530.24
18-01-2018,3,0,1511.45
18-01-2018,3,30,1514.11
18-01-2018,4,0,1536.70
18-01-2018,4,30,1588.44
18-01-2018,5,0,1718.92
18-01-2018,5,30,2021.29
18-01-2018,6,0,2431.95
18-01-2018,6,30,2980.69
18-01-2018,7,0,3311.25
18-01-2018,7,30,3562.82
18-01-2018,8,0,3695.75
18-01-2018,8,30,3745.57
18-01-2018,9,0,3736.56
18-01-2018,9,30,3880.40
18-01-2018,10,0,3927.05
18-01-2018,10,30,3865.61
18-01-2018,11,0,3762.46
18-01-2018,11,30,3641.09
18-01-2018,12,0,3535.37
18-01-2018,12,30,3405.53
18-01-2018,13,0,3200.20
18-01-2018,13,30,2951.81
18-01-2018,14,0,3039.71
18-01-2018,14,30,3023.55
18-01-2018,15,0,3001.74
18-01-2018,15,30,2978.96
18-01-2018,16,0,2970.80
18-01-2018,16,30,2946.34
18-01-2018,17,0,3021.22
18-01-2018,17,30,3128.53
18-01-2018,18,0,3297.64
18-01-2018,18,30,3426.37
18-01-2018,19,0,3420.70
18-01-2018,19,30,3365.59
18-01-2018,20,0,3267.51
18-01-2018,20,30,3121.42
18-01-2018,21,0,2915.77
18-01-2018,21,30,2772.30
18-01-2018,22,0,2650.67
18-01-2018,22,30,2482.85
18-01-2018,23,0,2264.12
18-01-2018,23,30,2155.99
19-01-2018,0,0,2083.62
19-01-2018,0,30,2038.41
19-01-2018,1,0,2004.46
19-01-2018,1,30,1986.88
19-01-2018,2,0,1984.20
19-01-2018,2,30,1976.51
19-01-2018,3,0,1961.04
19-01-2018,3,30,1957.90
19-01-2018,4,0,1955.62
